id,tipo,valorVenda,bairro,cidade,estado,quartos,suites,vagas,banheiros,areaConstruida,endereco_completo,url,Latitude,Longitude
165127238,Casa,7500000.0,Rio Tavares,Florianópolis,SC,4,4,8,7,600.0,"Rua Reverendo Gelson dos Santos Castro, 886, Rio Tavares, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+4-quartos+rio-tavares+florianopolis+sc+600m2+rs7500000/165127238,-27.6625593,-48.4885038
165127550,Estúdio,890000.0,Canajurê,Florianópolis,SC,1,0,1,1,45.0,"Rodovia Tertuliano Brito Xavier, 3100, Canajurê, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+canajure+florianopolis+sc+45m2+rs890000/165127550,Erro,Erro
165127753,Apartamento,1500000.0,Campeche,Florianópolis,SC,2,2,2,3,85.78,"Avenida Pequeno Príncipe, 2446, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+campeche+florianopolis+sc+85,78m2+rs1500000/165127753",-27.684868950000002,-48.489053484484444
165127845,Casa,1750000.0,Campeche,Florianópolis,SC,5,1,3,1,186.56,"Guilherma Maria da Silva, 178, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+campeche+florianopolis+sc+186,56m2+rs1750000/165127845",Erro,Erro
165127850,Casa,1290000.0,Campeche,Florianópolis,SC,4,1,2,3,140.0,"Rua Doutor Cláudio Américo Prates, 367, Campeche, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+4-quartos+campeche+florianopolis+sc+140m2+rs1290000/165127850,-27.6832377,-48.4999589
165127854,Apartamento,1200000.0,Campeche,Florianópolis,SC,3,1,2,3,90.76,"Rua Heloisa Rojo Machado, 111, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+3-quartos+campeche+florianopolis+sc+90,76m2+rs1200000/165127854",-27.7010513,-48.4981404
165127946,Cobertura,1060000.0,Morro Das Pedras,Florianópolis,SC,2,1,1,2,99.91,"Rua dos Jades, 63, Morro Das Pedras, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+2-quartos+morro-das-pedras+florianopolis+sc+99,91m2+rs1060000/165127946",Erro,Erro
165128011,Cobertura,1900000.0,Côrrego Grande,Florianópolis,SC,2,2,2,3,109.61,"Rua João Pio Duarte Silva, 1630, Côrrego Grande, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+2-quartos+corrego-grande+florianopolis+sc+109,61m2+rs1900000/165128011",-27.601203050000002,-48.50183839699311
165128056,Sala Comercial,1100000.0,Centro,Florianópolis,SC,0,0,2,2,92.0,"Rua Dom Jaime Câmara, 170, Centro, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+sala-comercial+--quartos+centro+florianopolis+sc+92m2+rs1100000/165128056,-27.5924416,-48.5513342
165128445,Cobertura,7000000.0,Cachoeira Do Bom Jesus,Florianópolis,SC,5,4,3,5,232.24,"Rua Tadeu Szpoganicz, 144, Cachoeira Do Bom Jesus, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+5-quartos+cachoeira-do-bom-jesus+florianopolis+sc+232,24m2+rs7000000/165128445",-27.4245341,-48.4399861
165128595,Casa,2190000.0,Coqueiros,Florianópolis,SC,5,2,2,0,249.55,"Rua Paula Ramos, 982, Coqueiros, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+coqueiros+florianopolis+sc+249,55m2+rs2190000/165128595",-27.6058434,-48.5840871
165128680,Cobertura,1650000.0,Saco Grande,Florianópolis,SC,2,1,0,2,162.38,"Rodovia Virgílio Várzea, 244, Saco Grande, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+2-quartos+saco-grande+florianopolis+sc+162,38m2+rs1650000/165128680",-27.5439453,-48.4999498
165128760,Apartamento,980000.0,Itacorubi,Florianópolis,SC,2,1,1,2,66.75,"Recanto Verde, 170, Itacorubi, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+itacorubi+florianopolis+sc+66,75m2+rs980000/165128760",-27.5869049,-48.4954832
165128921,Casa,1920000.0,Rio Tavares,Florianópolis,SC,3,1,2,3,170.0,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 1, Rio Tavares, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+rio-tavares+florianopolis+sc+170m2+rs1920000/165128921,-27.6569057,-48.4857159
165129004,Apartamento,930000.0,Canasvieiras,Florianópolis,SC,2,2,1,2,60.0,"Rua Antonio Prudente de Morais, 814, Canasvieiras, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+canasvieiras+florianopolis+sc+60m2+rs930000/165129004,Erro,Erro
165129513,Casa,1350000.0,Açores,Florianópolis,SC,3,1,2,4,166.35,"Rua José Afonso Fortkamp, 121, Açores, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+acores+florianopolis+sc+166,35m2+rs1350000/165129513",-27.7804973,-48.5258583
165129516,Casa,1450000.0,Ribeirão da Ilha,Florianópolis,SC,3,1,2,1,125.0,"Rua Jabuticabeira do Sul, 229, Ribeirão da Ilha, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+ribeirao-da-ilha+florianopolis+sc+125m2+rs1450000/165129516,-27.6997333,-48.5181678
165129639,Estúdio,835000.0,Centro,Florianópolis,SC,1,0,1,1,37.63,"Avenida Professor Othon Gama DEça, 624, Centro, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+centro+florianopolis+sc+37,63m2+rs835000/165129639",Erro,Erro
165129647,Apartamento,1250000.0,Campeche,Florianópolis,SC,2,1,1,2,77.48,"Rua Nicolau João de Abreu, 226, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+campeche+florianopolis+sc+77,48m2+rs1250000/165129647",-27.6647528,-48.4787208
165129676,Estúdio,690000.0,Campeche,Florianópolis,SC,1,0,1,1,38.81,"Rodovia Francisco Magno Vieira, 4397, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+campeche+florianopolis+sc+38,81m2+rs690000/165129676",-27.670789,-48.5055793
165129685,Apartamento,597000.0,Campeche,Florianópolis,SC,1,1,1,1,41.21,"Rodovia Francisco Magno Vieira, 3454, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+1-quarto+campeche+florianopolis+sc+41,21m2+rs597000/165129685",-27.6996171,-48.5112803
165129707,Apartamento,737000.0,Campeche,Florianópolis,SC,1,1,1,2,60.17,"Rodovia Francisco Magno Vieira, 3454, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+1-quarto+campeche+florianopolis+sc+60,17m2+rs737000/165129707",-27.6996171,-48.5112803
165129727,Apartamento,687000.0,Campeche,Florianópolis,SC,1,1,1,1,59.29,"Rodovia Francisco Magno Vieira, 3454, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+1-quarto+campeche+florianopolis+sc+59,29m2+rs687000/165129727",-27.6996171,-48.5112803
165129756,Cobertura,3520000.0,Campeche,Florianópolis,SC,3,1,2,3,196.32,"Avenida Campeche, 1830, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+3-quartos+campeche+florianopolis+sc+196,32m2+rs3520000/165129756",-27.6695782,-48.4819138
165129876,Casa,4500000.0,Morro Das Pedras,Florianópolis,SC,2,2,2,1,276.65,"Rua Manoel Pedro Vieira, 960, Morro Das Pedras, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+morro-das-pedras+florianopolis+sc+276,65m2+rs4500000/165129876",-27.7104732,-48.5027196
165130075,Casa,1850000.0,Cachoeira Do Bom Jesus,Florianópolis,SC,5,1,4,4,297.0,"Avenida Luiz Boiteux Piazza, 3772, Cachoeira Do Bom Jesus, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+cachoeira-do-bom-jesus+florianopolis+sc+297m2+rs1850000/165130075,-27.3971656,-48.4277239
165130147,Casa,3200000.0,Campeche,Florianópolis,SC,3,1,1,3,185.0,"Rua João Rocha, 12, Campeche, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+campeche+florianopolis+sc+185m2+rs3200000/165130147,Erro,Erro
165130171,Casa Comercial,3100000.0,Estreito,Florianópolis,SC,0,0,8,0,534.0,"Rua Álvaro Cardoso, 104, Estreito, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa-comercial+--quartos+estreito+florianopolis+sc+534m2+rs3100000/165130171,-27.5905791,-48.5789839
165130244,Terreno,600000.0,Centro,Florianópolis,SC,0,0,0,0,1798.0,"Rua Ângelo La Porta, 370, Centro, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+centro+florianopolis+sc+1798m2+rs600000/165130244,-27.588883,-48.5401209
165130303,Terreno,1800000.0,Jose Mendes,Florianópolis,SC,0,0,0,0,342.0,"Rua José Maria da Luz, 458, Jose Mendes, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+jose-mendes+florianopolis+sc+342m2+rs1800000/165130303,-27.6129823,-48.5462264
165130326,Terreno,6450000.0,Itacorubi,Florianópolis,SC,0,0,0,0,6394.66,"do Palmeiras, 1, Itacorubi, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+itacorubi+florianopolis+sc+6394,66m2+rs6450000/165130326",Erro,Erro
165130422,Casa,7000000.0,Jurerê Internacional,Florianópolis,SC,5,2,2,4,370.0,"Avenida dos Búzios, 1528, Jurerê Internacional, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+jurere-internacional+florianopolis+sc+370m2+rs7000000/165130422,-27.4401949,-48.4979797
165130441,Terreno,1500000.0,Itacorubi,Florianópolis,SC,0,0,0,0,722.0,"Rodovia Admar Gonzaga, 3489, Itacorubi, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+itacorubi+florianopolis+sc+722m2+rs1500000/165130441,-27.5793029,-48.5049978
165130790,Casa,4200000.0,Jurerê Internacional,Florianópolis,SC,5,3,3,5,600.0,"Rua dos Marimbaus, 512, Jurerê Internacional, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+jurere-internacional+florianopolis+sc+600m2+rs4200000/165130790,-27.4405943,-48.5056044
165130831,Terreno,1600000.0,Lagoa Da Conceição,Florianópolis,SC,0,0,0,0,425.04,"Rua Liberato Carioni, 1, Lagoa Da Conceição, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+lagoa-da-conceicao+florianopolis+sc+425,04m2+rs1600000/165130831",-27.6055199,-48.4736254
165131322,Apartamento,870000.0,Côrrego Grande,Florianópolis,SC,2,1,2,2,73.67,"Rua Pirineus, 86, Côrrego Grande, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+corrego-grande+florianopolis+sc+73,67m2+rs870000/165131322",Erro,Erro
165131356,Casa,949000.0,Ingleses Do Rio Vermelho,Florianópolis,SC,3,1,2,2,150.0,"Estrada Dário Manoel Cardoso, 110, Ingleses Do Rio Vermelho, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+ingleses-do-rio-vermelho+florianopolis+sc+150m2+rs949000/165131356,-27.4482997,-48.3970505
165131426,Casa,2990000.0,Lagoa Da Conceição,Florianópolis,SC,3,3,4,3,237.78,"Rua Laurindo Januário da Silveira, 954, Lagoa Da Conceição, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+lagoa-da-conceicao+florianopolis+sc+237,78m2+rs2990000/165131426",-27.6329199,-48.471641
165131468,Casa,1750000.0,Rio Tavares,Florianópolis,SC,3,1,2,3,169.06,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 1, Rio Tavares, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+rio-tavares+florianopolis+sc+169,06m2+rs1750000/165131468",-27.6569057,-48.4857159
165131469,Casa,1750000.0,Rio Tavares,Florianópolis,SC,3,1,2,3,169.6,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 1, Rio Tavares, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+rio-tavares+florianopolis+sc+169,6m2+rs1750000/165131469",-27.6569057,-48.4857159
165131516,Casa,2100000.0,Canto,Florianópolis,SC,3,1,2,3,232.0,"Rua Andrelino Natividade da Costa, 200, Canto, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+canto+florianopolis+sc+232m2+rs2100000/165131516,-27.5867777,-48.5892087
165131935,Casa,1390000.0,Centro,Florianópolis,SC,2,1,2,2,168.0,"Rua Ângelo La Porta, 590, Centro, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+centro+florianopolis+sc+168m2+rs1390000/165131935,-27.588883,-48.5401209
165132160,Cobertura,1200000.0,Trindade,Florianópolis,SC,3,2,1,3,99.5,"Rua Lauro Linhares, 1075, Trindade, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+3-quartos+trindade+florianopolis+sc+99,5m2+rs1200000/165132160",-27.5977087,-48.5204538
165132185,Apartamento,1180000.0,Centro,Florianópolis,SC,1,0,1,1,53.25,"Avenida Mauro Ramos, 1512, Centro, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+1-quarto+centro+florianopolis+sc+53,25m2+rs1180000/165132185",-27.5880115,-48.54263041206349
165132210,Sala Comercial,290000.0,Estreito,Florianópolis,SC,0,0,1,1,37.06,"Rua Fúlvio Aducci, 627, Estreito, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+sala-comercial+--quartos+estreito+florianopolis+sc+37,06m2+rs290000/165132210",-27.58728,-48.5783857
165132211,Sala Comercial,360000.0,Estreito,Florianópolis,SC,0,0,1,1,37.06,"Rua Fúlvio Aducci, 627, Estreito, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+sala-comercial+--quartos+estreito+florianopolis+sc+37,06m2+rs360000/165132211",-27.58728,-48.5783857
165132301,Cobertura,1990000.0,Campeche,Florianópolis,SC,2,1,1,2,119.48,"Rua Gilmar Darli Vieira, 340, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+2-quartos+campeche+florianopolis+sc+119,48m2+rs1990000/165132301",-27.6666615,-48.4777676
165132307,Apartamento,699000.0,Saco Grande,Florianópolis,SC,2,1,1,2,61.31,"Rodovia Virgílio Várzea, 1617, Saco Grande, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+saco-grande+florianopolis+sc+61,31m2+rs699000/165132307",-27.537159,-48.5085245
165132383,Casa,695000.0,Trindade,Florianópolis,SC,3,0,4,1,95.0,"Rua Francisco Anastácio Pires, 121, Trindade, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+trindade+florianopolis+sc+95m2+rs695000/165132383,-27.5901359,-48.5244147
165132399,Casa,2100000.0,Rio Tavares,Florianópolis,SC,3,3,2,3,208.0,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 3156, Rio Tavares, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+rio-tavares+florianopolis+sc+208m2+rs2100000/165132399,-27.6614386,-48.5008572
165132467,Casa,2300000.0,Morro Das Pedras,Florianópolis,SC,5,1,1,2,105.0,"Rua Manoel Pedro Vieira, 1019, Morro Das Pedras, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+5-quartos+morro-das-pedras+florianopolis+sc+105m2+rs2300000/165132467,-27.7161531,-48.5037094
165132528,Casa,1280000.0,Campeche,Florianópolis,SC,1,0,4,1,60.0,"Rosa dos Ventos, 91, Campeche, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+1-quarto+campeche+florianopolis+sc+60m2+rs1280000/165132528,Erro,Erro
165132576,Apartamento,788000.0,Campeche,Florianópolis,SC,1,0,1,1,39.4,"Rua Catavento, 275, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+1-quarto+campeche+florianopolis+sc+39,4m2+rs788000/165132576",Erro,Erro
165132891,Sala Comercial,430000.0,Centro,Florianópolis,SC,0,0,2,2,35.84,"Rua Araújo Figueiredo, 119, Centro, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+sala-comercial+--quartos+centro+florianopolis+sc+35,84m2+rs430000/165132891",-27.59607835,-48.54716315
165132892,Sala Comercial,430000.0,Centro,Florianópolis,SC,0,0,2,2,35.84,"Rua Araújo Figueiredo, 119, Centro, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+sala-comercial+--quartos+centro+florianopolis+sc+35,84m2+rs430000/165132892",-27.59607835,-48.54716315
165133039,Estúdio,950000.0,Centro,Florianópolis,SC,1,0,1,1,46.5,"Avenida Mauro Ramos, 1512, Centro, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+centro+florianopolis+sc+46,5m2+rs950000/165133039",-27.5880115,-48.54263041206349
165133084,Casa,595000.0,Ribeirão da Ilha,Florianópolis,SC,2,0,1,2,67.28,"Rua Ingá Mirim, 240, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+ribeirao-da-ilha+florianopolis+sc+67,28m2+rs595000/165133084",Erro,Erro
165133085,Casa,790000.0,Carianos,Florianópolis,SC,3,0,1,3,110.75,"Rua Jardim Esperança, 233, Carianos, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+carianos+florianopolis+sc+110,75m2+rs790000/165133085",-27.6644445,-48.5273371
165133086,Estúdio,460000.0,Ribeirão da Ilha,Florianópolis,SC,1,0,1,1,15.03,"Rua Cedro Rosa do Sul, 1, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+ribeirao-da-ilha+florianopolis+sc+15,03m2+rs460000/165133086",-27.7034706,-48.5197085
165133087,Casa,1050000.0,Ribeirão da Ilha,Florianópolis,SC,3,3,2,3,132.0,"Rua Cedro Rosa do Sul, 89, Ribeirão da Ilha, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+ribeirao-da-ilha+florianopolis+sc+132m2+rs1050000/165133087,-27.7034706,-48.5197085
165133110,Casa,1420000.0,Centro,Florianópolis,SC,7,4,1,5,200.0,"Rua General Nestor Passos, 194, Centro, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+7-quartos+centro+florianopolis+sc+200m2+rs1420000/165133110,-27.5952985,-48.5401075
165133216,Apartamento,1730000.0,Agronômica,Florianópolis,SC,3,1,2,3,145.0,"Rua Rui Barbosa, 544, Agronômica, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+apartamento+3-quartos+agronomica+florianopolis+sc+145m2+rs1730000/165133216,-27.5751958,-48.538645
165133308,Casa,1650000.0,Campeche,Florianópolis,SC,3,0,2,3,178.74,"Rua Aviação Francesa, 600, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+campeche+florianopolis+sc+178,74m2+rs1650000/165133308",-27.688905,-48.4928897
165133319,Estúdio,720000.0,Campeche,Florianópolis,SC,1,0,1,1,53.48,"Rodovia Francisco Magno Vieira, 4397, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+campeche+florianopolis+sc+53,48m2+rs720000/165133319",-27.670789,-48.5055793
165133452,Estúdio,480000.0,Carvoeira,Florianópolis,SC,1,0,1,1,16.0,"Avenida César Seara, 174, Carvoeira, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+estudio+1-quarto+carvoeira+florianopolis+sc+16m2+rs480000/165133452,-27.603599,-48.5253545
165133555,Terreno,680000.0,Ribeirão da Ilha,Florianópolis,SC,0,0,0,0,461.19,"Rodovia Baldicero Filomeno, 1, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+ribeirao-da-ilha+florianopolis+sc+461,19m2+rs680000/165133555",-27.7066838,-48.5089537
165133587,Casa,740000.0,Ribeirão da Ilha,Florianópolis,SC,3,2,3,1,106.4,"Rodovia Baldicero Filomeno, 3585, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+ribeirao-da-ilha+florianopolis+sc+106,4m2+rs740000/165133587",-27.7066838,-48.5089537
165133588,Casa,820000.0,Ribeirão da Ilha,Florianópolis,SC,3,2,3,1,106.4,"Rodovia Baldicero Filomeno, 3585, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+ribeirao-da-ilha+florianopolis+sc+106,4m2+rs820000/165133588",-27.7066838,-48.5089537
165133608,Casa,1500000.0,Armação do Pântano Do Sul,Florianópolis,SC,2,1,2,1,192.0,"Rua Felicidade Maria da Silva, 401, Armação do Pântano Do Sul, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+armacao-do-pantano-do-sul+florianopolis+sc+192m2+rs1500000/165133608,Erro,Erro
165133626,Cobertura,5300000.0,Campeche,Florianópolis,SC,3,3,2,1,303.54,"Avenida Campeche, 3693, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+3-quartos+campeche+florianopolis+sc+303,54m2+rs5300000/165133626",-27.6749293,-48.4842922
165133628,Casa,650000.0,Carianos,Florianópolis,SC,3,1,2,2,80.32,"Rua Jardim Esperança, 814, Carianos, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+carianos+florianopolis+sc+80,32m2+rs650000/165133628",-27.6644445,-48.5273371
165133664,Casa,3300000.0,Balneário,Florianópolis,SC,4,2,2,3,213.74,"Rua Osvaldo Cruz, 454, Balneário, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+4-quartos+balneario+florianopolis+sc+213,74m2+rs3300000/165133664",Erro,Erro
165133709,Casa,4550000.0,Rio Tavares,Florianópolis,SC,3,1,3,3,280.95,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 3825, Rio Tavares, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+rio-tavares+florianopolis+sc+280,95m2+rs4550000/165133709",-27.6381814,-48.4734244
165133712,Terreno,650000.0,Ribeirão da Ilha,Florianópolis,SC,0,0,0,0,450.23,"Rodovia Baldicero Filomeno, 3100, Ribeirão da Ilha, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+ribeirao-da-ilha+florianopolis+sc+450,23m2+rs650000/165133712",-27.7064149,-48.5086239
165133722,Apartamento,795000.0,Coqueiros,Florianópolis,SC,2,1,1,2,74.0,"Rua General Estilac Leal, 129, Coqueiros, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+coqueiros+florianopolis+sc+74m2+rs795000/165133722,-27.6120682,-48.5849365
165133749,Casa,1590000.0,Campeche,Florianópolis,SC,3,3,2,4,156.8,"Rua Jardim 300 S, 50, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+campeche+florianopolis+sc+156,8m2+rs1590000/165133749",-27.6992848,-48.4963779
165133750,Casa,1590000.0,Campeche,Florianópolis,SC,3,3,2,4,156.8,"Rua Jardim 300 S, 50, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+campeche+florianopolis+sc+156,8m2+rs1590000/165133750",-27.6992848,-48.4963779
